,age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
11197,43,3,2,1,1,1,2,3,2,116,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11198,49,10,2,6,1,1,2,4,4,77,1,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
11199,33,2,1,3,1,1,2,5,2,116,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11200,32,10,2,6,2,1,1,6,4,192,6,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
11201,38,10,2,6,1,2,1,1,4,196,2,999,0,3,-1.8,92.843,-50.0,1.757,5099.1,1
11202,33,1,1,7,1,1,2,5,2,5,1,999,0,3,-1.7,94.215,-40.3,0.893,4991.6,0
11203,39,2,3,3,2,1,1,3,4,127,1,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,0
11204,47,10,3,4,2,1,1,6,3,87,3,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11205,40,1,1,8,1,2,2,3,1,61,4,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
11206,34,2,2,3,2,1,1,2,5,218,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11207,38,12,2,8,1,1,1,6,4,79,4,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
11208,27,8,1,7,1,1,1,5,3,698,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11209,32,2,2,3,3,3,2,3,3,195,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11210,27,5,1,7,2,1,1,3,1,77,2,999,0,3,-1.8,92.893,-46.2,1.354,5099.1,0
11211,48,8,2,4,2,1,1,6,3,132,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11212,31,1,1,7,1,1,1,9,4,101,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
11213,42,2,2,2,2,1,1,3,4,219,1,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
11214,34,1,1,2,1,1,1,2,1,170,2,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11215,50,1,3,7,1,1,2,3,5,122,6,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11216,25,8,1,4,1,1,2,3,4,130,2,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
11217,27,1,1,4,1,1,2,3,5,682,1,999,0,3,1.1,93.994,-36.4,4.864,5191.0,1
11218,36,1,1,7,1,1,1,5,4,78,16,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
11219,35,4,2,1,1,1,2,3,5,91,2,999,0,3,1.1,93.994,-36.4,4.864,5191.0,0
11220,36,1,1,4,1,1,1,3,3,473,1,999,0,3,-1.8,92.893,-46.2,1.334,5099.1,0
11221,49,2,3,8,2,1,1,5,3,284,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11222,39,5,2,7,1,1,2,4,5,601,5,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11223,31,2,1,4,2,1,1,5,3,73,1,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11224,43,7,2,4,1,1,1,9,1,137,3,999,1,2,-3.4,92.649,-30.1,0.714,5017.5,0
11225,32,10,1,7,2,2,1,6,1,508,3,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11226,38,2,1,1,1,1,2,3,2,87,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11227,51,2,2,2,2,1,1,5,5,227,2,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11228,41,2,2,2,1,2,1,3,2,178,3,999,1,2,-1.8,92.893,-46.2,1.291,5099.1,0
11229,41,2,2,1,1,1,1,2,5,191,4,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,0
11230,32,10,2,6,1,1,2,3,4,27,1,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
11231,42,10,1,6,2,1,1,9,5,173,1,999,1,2,-0.1,93.2,-42.0,4.021,5195.8,0
11232,37,1,2,4,2,1,1,5,4,230,2,999,0,3,-1.7,94.215,-40.3,0.81,4991.6,0
11233,43,1,1,7,2,2,1,6,3,57,4,999,0,3,1.4,93.444,-36.1,4.967,5228.1,0
11234,31,2,2,3,1,1,2,4,2,397,2,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
11235,33,11,2,3,1,1,2,4,5,11,6,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11236,42,1,1,3,1,1,2,3,5,145,2,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
11237,60,11,2,2,2,1,1,7,4,95,1,3,1,1,-3.4,92.379,-29.8,0.809,5017.5,0
11238,37,5,3,8,2,1,1,3,2,147,2,999,1,2,-1.8,92.893,-46.2,1.344,5099.1,0
11239,22,9,1,6,1,1,1,9,1,113,3,999,0,3,-3.4,92.649,-30.1,0.715,5017.5,1
11240,35,1,3,7,2,1,2,4,3,399,2,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
11241,57,10,1,7,2,2,1,6,4,433,3,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11242,37,1,1,7,2,1,1,9,1,64,1,999,0,3,-0.1,93.2,-42.0,4.191,5195.8,0
11243,35,2,2,2,2,2,2,3,3,305,3,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
11244,31,10,2,4,1,1,1,6,5,171,7,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11245,47,2,2,3,2,1,2,4,1,109,3,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
11246,37,1,2,7,1,2,1,6,4,156,1,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
11247,35,10,1,4,2,2,1,9,3,819,3,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,1
11248,46,2,2,4,1,1,1,3,1,11,5,999,0,3,-1.8,92.893,-46.2,1.244,5099.1,0
11249,43,5,2,6,1,1,1,9,2,42,1,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
11250,29,9,1,4,1,1,1,2,4,86,1,999,0,3,-1.8,93.075,-47.1,1.406,5099.1,0
11251,44,8,2,1,1,1,1,5,5,226,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11252,26,5,1,7,2,1,1,5,2,201,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11253,30,1,1,7,2,2,2,8,1,718,1,999,0,3,-0.1,93.798,-40.4,5.0,5195.8,1
11254,56,5,2,6,1,1,1,10,3,124,1,999,0,3,-3.0,92.713,-33.0,0.715,5023.5,0
11255,33,2,1,3,2,1,2,3,2,155,1,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
11256,45,1,3,7,1,2,1,9,5,59,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
11257,26,2,1,4,2,1,2,3,5,326,1,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
11258,39,8,2,4,1,2,2,3,2,480,4,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
11259,28,5,1,3,1,1,2,4,3,466,2,999,0,3,1.4,94.465,-41.8,4.962,5228.1,0
11260,30,1,1,4,1,2,1,9,5,64,2,999,1,2,-0.1,93.2,-42.0,4.021,5195.8,0
11261,71,6,2,1,2,1,1,6,5,125,1,999,0,3,-2.9,92.201,-31.4,0.869,5076.2,1
11262,34,3,2,7,1,2,1,2,5,77,3,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11263,44,2,1,1,2,1,2,3,4,113,1,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
11264,39,1,3,7,1,1,1,6,1,125,2,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11265,33,1,2,7,1,1,1,5,5,305,10,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11266,53,5,2,7,2,1,1,9,4,186,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
11267,37,4,1,7,1,1,1,3,5,288,2,999,0,3,-1.8,92.893,-46.2,1.259,5099.1,1
11268,52,8,2,4,2,2,1,5,4,379,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11269,38,5,2,7,1,2,1,6,3,107,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11270,83,6,2,1,2,1,1,2,4,321,1,999,0,3,-1.8,93.075,-47.1,1.365,5099.1,0
11271,45,8,3,4,2,2,1,5,3,230,3,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11272,60,12,1,8,2,1,2,3,2,211,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11273,46,10,2,6,2,1,2,9,2,103,2,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
11274,68,6,2,1,1,1,1,6,1,110,1,999,2,2,-2.9,92.201,-31.4,0.861,5076.2,0
11275,33,1,1,7,2,2,1,3,4,255,2,999,1,2,-1.8,92.893,-46.2,1.266,5099.1,0
11276,48,1,2,4,2,1,2,9,2,217,1,999,0,3,-0.1,93.2,-42.0,4.7,5195.8,0
11277,29,10,2,7,2,1,1,9,5,210,1,3,1,1,-3.4,92.649,-30.1,0.714,5017.5,1
11278,29,2,2,2,1,1,1,3,4,102,1,999,0,3,-1.8,92.893,-46.2,1.327,5099.1,0
11279,47,6,2,3,1,2,1,6,1,97,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11280,55,3,3,7,1,1,1,9,5,48,1,999,0,3,-0.1,93.2,-42.0,4.021,5195.8,0
11281,24,10,3,6,1,1,1,2,5,332,1,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,0
11282,31,10,3,4,1,1,1,6,5,129,3,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11283,30,5,1,7,1,1,2,4,4,27,7,999,0,3,1.4,94.465,-41.8,4.866,5228.1,0
11284,34,1,1,7,1,1,1,6,3,195,1,999,0,3,-2.9,92.201,-31.4,0.854,5076.2,1
11285,48,10,2,6,1,1,1,5,2,288,1,999,1,2,-1.7,94.215,-40.3,0.876,4991.6,0
11286,51,2,2,1,1,1,1,5,1,578,2,999,0,3,1.4,93.918,-42.7,4.96,5228.1,0
11287,49,2,1,8,2,1,1,3,5,347,2,999,0,3,-1.8,92.893,-46.2,1.313,5099.1,0
11288,41,10,1,6,2,1,1,6,2,239,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11289,73,6,2,1,3,3,1,6,1,160,3,999,1,2,-2.9,92.201,-31.4,0.821,5076.2,1
11290,48,2,2,1,2,1,1,6,4,240,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11291,40,2,3,3,2,1,1,5,3,207,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11292,50,8,2,1,1,1,1,6,5,95,1,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
11293,36,2,1,3,1,1,2,3,5,522,1,999,0,3,1.1,93.994,-36.4,4.864,5191.0,0
11294,30,5,1,7,2,2,1,3,2,228,1,999,1,2,-1.8,92.893,-46.2,1.344,5099.1,0
11295,54,2,2,1,1,1,1,5,5,94,1,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11296,27,2,1,3,2,1,1,5,1,65,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11297,31,1,2,4,1,1,2,3,4,784,1,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
11298,35,2,2,4,2,2,2,5,1,281,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11299,45,4,2,6,1,1,2,4,4,210,3,999,0,3,1.4,94.465,-41.8,4.866,5228.1,0
11300,44,1,1,6,2,1,1,3,1,105,3,999,0,3,-1.8,92.893,-46.2,1.299,5099.1,0
11301,31,1,2,7,1,1,1,5,5,106,1,999,0,3,-1.7,94.215,-40.3,0.861,4991.6,0
11302,30,7,1,7,2,1,1,2,4,104,1,999,0,3,-1.8,93.075,-47.1,1.435,5099.1,0
11303,50,7,2,3,2,1,1,6,4,93,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11304,33,3,1,6,2,1,1,1,5,373,1,999,0,3,-1.8,93.369,-34.8,0.653,5008.7,1
11305,31,1,3,7,2,2,1,6,2,134,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11306,31,1,1,4,3,3,1,5,3,150,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11307,37,1,1,7,1,1,1,5,2,150,5,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
11308,66,6,2,6,1,1,1,1,2,328,1,999,0,3,-1.8,93.369,-34.8,0.655,5008.7,0
11309,48,2,2,3,2,2,1,2,4,429,2,999,0,3,-1.8,93.075,-47.1,1.435,5099.1,0
11310,32,2,2,3,1,1,1,2,5,135,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11311,66,4,3,1,2,1,1,1,4,201,1,3,2,1,-1.8,93.369,-34.8,0.635,5008.7,1
11312,38,7,3,3,2,2,1,5,4,119,3,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
11313,36,10,1,7,2,1,2,4,2,49,1,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
11314,44,2,2,1,2,1,2,4,5,113,1,999,0,3,1.4,94.465,-41.8,4.967,5228.1,0
11315,30,1,2,7,2,1,2,4,3,299,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
11316,28,7,1,7,2,1,1,2,1,64,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11317,40,2,2,6,1,1,1,5,1,674,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11318,31,10,1,6,1,1,1,2,1,217,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11319,38,11,2,2,1,1,2,4,1,947,4,999,0,3,1.4,94.465,-41.8,4.865,5228.1,1
11320,56,1,2,7,1,1,2,3,5,213,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11321,31,2,1,3,1,1,1,3,2,7,5,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
11322,47,1,1,4,2,1,1,3,1,911,3,999,0,3,-1.8,92.893,-46.2,1.299,5099.1,1
11323,42,4,1,1,1,1,2,4,5,322,1,999,0,3,1.4,94.465,-41.8,4.967,5228.1,0
11324,52,1,3,7,2,2,1,3,4,414,3,999,0,3,-1.8,92.893,-46.2,1.27,5099.1,0
11325,34,2,1,3,1,1,1,9,3,127,1,999,1,2,-0.1,93.2,-42.0,4.12,5195.8,0
11326,41,12,1,3,1,2,2,3,1,369,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11327,35,11,2,1,2,1,1,9,1,57,1,999,0,3,-0.1,93.2,-42.0,4.191,5195.8,0
11328,28,1,1,7,2,1,1,2,4,280,1,999,0,3,-1.8,93.075,-47.1,1.365,5099.1,0
11329,45,12,2,3,1,1,1,6,2,234,3,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11330,34,10,1,7,1,1,1,3,2,197,2,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,0
11331,42,1,1,4,1,1,2,4,2,579,1,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
11332,31,5,2,3,1,2,2,3,3,161,2,999,0,3,1.1,93.994,-36.4,4.858,5191.0,0
11333,28,3,2,1,2,1,2,3,3,143,1,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
11334,34,10,1,7,1,1,1,5,2,116,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11335,43,11,3,3,2,1,1,5,2,187,2,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
11336,34,1,3,7,1,1,2,5,4,676,1,999,0,3,1.4,93.918,-42.7,4.966,5228.1,1
11337,49,10,2,3,2,1,1,5,4,183,1,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
11338,24,9,1,7,2,1,1,5,4,20,3,999,0,3,1.4,93.918,-42.7,4.958,5228.1,0
11339,52,1,2,8,1,1,1,6,2,422,1,999,0,3,1.4,93.444,-36.1,4.968,5228.1,0
11340,52,2,3,4,1,1,2,4,3,134,2,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11341,41,2,3,2,1,1,2,3,5,245,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11342,30,2,2,3,1,1,1,5,4,428,1,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11343,50,10,2,6,1,1,1,5,3,87,1,999,0,3,-2.9,92.469,-33.6,1.029,5076.2,0
11344,46,4,2,1,1,1,2,3,5,68,2,999,0,3,1.1,93.994,-36.4,4.864,5191.0,0
11345,36,1,1,7,2,1,2,4,1,99,1,999,0,3,1.4,94.465,-41.8,4.96,5228.1,0
11346,25,2,2,3,2,1,2,4,1,82,5,999,0,3,1.4,94.465,-41.8,4.958,5228.1,0
11347,56,5,2,1,2,1,1,5,2,673,2,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
11348,33,10,1,6,1,1,1,6,1,176,2,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11349,26,10,1,7,1,1,2,5,4,447,4,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11350,50,1,2,7,2,1,1,9,1,204,1,7,1,1,-3.4,92.649,-30.1,0.722,5017.5,0
11351,31,2,2,3,3,3,2,3,4,90,3,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
11352,43,8,3,4,1,1,1,9,3,466,1,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
11353,44,8,2,1,2,1,1,6,1,779,7,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11354,53,6,2,4,2,1,1,5,5,99,7,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11355,38,8,2,3,1,1,1,4,5,140,2,999,0,3,-2.9,92.963,-40.8,1.224,5076.2,0
11356,44,10,2,6,2,2,1,3,4,292,3,999,0,3,-1.8,92.893,-46.2,1.266,5099.1,0
11357,38,5,2,4,2,1,1,2,5,143,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11358,44,2,2,3,2,1,1,9,2,52,1,999,0,3,-0.1,93.2,-42.0,4.153,5195.8,0
11359,54,6,3,6,2,1,2,3,2,139,3,999,1,2,-1.8,92.893,-46.2,1.291,5099.1,0
11360,33,1,1,7,2,1,1,3,4,332,4,999,1,2,-1.8,92.893,-46.2,1.327,5099.1,0
11361,55,8,2,4,2,1,2,4,5,315,1,999,0,3,1.4,94.465,-41.8,4.967,5228.1,0
11362,30,10,2,7,2,1,1,6,3,95,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11363,55,6,2,4,2,2,1,6,2,37,5,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11364,46,5,3,1,1,1,2,5,3,201,5,999,0,3,1.4,93.918,-42.7,4.957,5228.1,0
11365,31,10,1,6,2,1,1,6,4,301,3,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11366,37,1,2,4,1,2,2,3,5,851,2,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
11367,54,5,3,7,1,1,2,3,1,288,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11368,31,10,2,4,1,1,1,6,2,87,2,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
11369,31,1,1,4,2,1,1,3,1,309,1,999,0,3,-1.8,92.893,-46.2,1.244,5099.1,1
11370,51,2,2,3,1,1,2,3,4,552,11,999,0,3,1.1,93.994,-36.4,4.86,5191.0,0
11371,36,11,1,8,1,1,1,5,4,189,3,999,0,3,1.4,93.918,-42.7,4.968,5228.1,0
11372,36,1,2,7,2,1,2,2,1,5,3,999,1,2,-1.8,93.075,-47.1,1.405,5099.1,0
11373,42,10,3,6,2,1,1,6,1,151,1,999,0,3,1.4,93.444,-36.1,4.97,5228.1,0
11374,27,8,2,3,2,1,2,3,5,162,2,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
11375,52,5,2,7,1,1,2,9,1,127,4,999,1,2,-0.1,93.2,-42.0,4.191,5195.8,0
11376,35,1,2,7,1,1,1,6,4,32,5,999,0,3,1.4,93.444,-36.1,4.962,5228.1,0
11377,61,5,2,7,2,1,1,9,2,195,1,7,1,1,-3.4,92.649,-30.1,0.715,5017.5,1
11378,47,1,2,4,1,1,1,9,4,115,3,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
11379,78,6,3,1,2,1,1,9,4,463,1,3,1,1,-3.4,92.649,-30.1,0.714,5017.5,0
11380,56,8,2,4,1,2,1,5,4,775,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11381,34,2,2,3,2,1,1,5,5,913,4,999,0,3,1.4,93.918,-42.7,4.957,5228.1,1
11382,33,3,2,4,2,1,1,9,3,902,2,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
11383,38,10,1,7,2,1,2,3,3,566,2,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
11384,55,1,2,4,2,1,2,3,5,188,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11385,31,5,1,7,2,1,2,3,2,174,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11386,36,1,3,7,2,1,1,5,3,81,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11387,30,1,1,7,2,1,1,6,2,173,9,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11388,43,1,2,7,2,1,1,9,4,197,2,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
11389,25,1,1,4,2,1,1,5,4,418,4,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11390,48,5,3,7,2,1,1,9,3,50,2,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
11391,33,2,2,1,1,1,1,3,2,150,4,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,0
11392,47,2,2,2,2,2,2,3,5,249,1,999,0,3,1.1,93.994,-36.4,4.859,5191.0,0
11393,29,10,1,3,2,1,1,5,3,603,1,999,0,3,-1.7,94.215,-40.3,0.84,4991.6,1
11394,49,5,2,7,2,1,2,3,5,1034,9,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11395,36,1,1,7,2,1,1,1,1,231,2,999,4,2,-1.8,93.369,-34.8,0.635,5008.7,0
11396,55,2,2,1,2,1,1,2,5,248,2,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11397,33,1,1,4,2,1,2,3,4,226,1,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
11398,33,1,3,7,1,2,2,3,5,128,1,999,0,3,1.1,93.994,-36.4,4.855,5191.0,0
11399,60,6,2,7,1,1,1,7,4,529,2,6,1,1,-1.1,94.199,-37.5,0.884,4963.6,1
11400,26,8,1,4,1,1,2,4,5,363,1,999,0,3,1.4,94.465,-41.8,4.967,5228.1,0
11401,56,10,2,6,1,1,1,5,5,196,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11402,44,11,2,7,2,1,1,9,4,1058,1,999,0,3,-0.1,93.2,-42.0,4.076,5195.8,0
11403,34,2,2,8,1,1,1,3,3,232,6,999,0,3,-1.8,92.893,-46.2,1.334,5099.1,0
11404,35,8,2,4,2,1,1,6,2,68,1,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
11405,45,1,2,7,2,1,1,6,1,177,1,999,0,3,1.4,93.444,-36.1,4.965,5228.1,0
11406,28,3,2,3,2,1,1,3,5,78,2,999,0,3,-1.8,92.893,-46.2,1.25,5099.1,0
11407,51,3,2,2,1,1,1,5,5,141,3,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11408,38,10,1,6,1,2,2,4,2,246,2,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
11409,40,8,1,4,1,1,1,2,1,1332,2,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,1
11410,30,1,1,7,1,2,1,4,5,199,1,3,1,1,-2.9,92.963,-40.8,1.268,5076.2,1
11411,37,2,2,2,2,1,2,4,3,199,1,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11412,60,1,2,7,1,1,1,2,5,246,3,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11413,38,10,1,4,2,1,1,2,5,183,1,999,0,3,-1.8,93.075,-47.1,1.405,5099.1,0
11414,27,2,2,3,2,1,2,3,3,164,2,999,0,3,1.1,93.994,-36.4,4.856,5191.0,0
11415,32,10,2,7,1,1,1,6,1,418,5,999,0,3,1.4,93.444,-36.1,4.965,5228.1,1
11416,46,8,2,4,1,1,1,3,3,765,1,999,1,2,-1.8,92.893,-46.2,1.334,5099.1,1
11417,49,8,2,4,2,2,2,3,5,108,1,999,0,3,1.1,93.994,-36.4,4.864,5191.0,0
11418,49,1,2,4,2,1,1,6,5,183,1,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
11419,45,1,2,6,1,1,1,5,5,49,1,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11420,43,5,1,7,1,1,1,5,2,312,2,999,0,3,1.4,93.918,-42.7,4.962,5228.1,0
11421,42,7,2,7,2,1,1,6,2,91,2,999,0,3,1.4,93.444,-36.1,4.966,5228.1,0
11422,48,2,2,1,2,1,1,6,4,85,1,999,0,3,1.4,93.444,-36.1,4.968,5228.1,0
11423,54,10,2,6,2,1,1,6,2,41,2,999,0,3,-2.9,92.201,-31.4,0.838,5076.2,0
11424,58,6,2,3,1,2,1,3,3,144,1,999,0,3,-1.8,92.893,-46.2,1.334,5099.1,0
11425,68,6,1,7,1,1,1,7,1,500,2,999,1,2,-3.4,92.379,-29.8,0.739,5017.5,0
11426,58,1,2,7,3,3,2,4,5,36,4,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11427,34,2,2,1,2,1,2,3,1,102,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11428,39,2,2,3,1,1,2,5,3,87,2,999,0,3,1.4,93.918,-42.7,4.963,5228.1,0
11429,35,10,2,4,2,1,2,6,5,129,1,999,0,3,1.4,93.444,-36.1,4.963,5228.1,0
11430,39,4,2,1,1,2,2,3,1,266,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11431,40,2,2,2,2,1,2,3,2,383,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11432,46,1,2,3,1,2,2,4,5,24,4,999,0,3,1.4,94.465,-41.8,4.959,5228.1,0
11433,29,1,1,3,1,1,2,3,2,62,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11434,47,3,2,7,2,1,2,4,1,82,2,999,0,3,1.4,94.465,-41.8,4.961,5228.1,0
11435,46,2,3,6,2,1,1,6,3,192,1,999,0,3,1.4,93.444,-36.1,4.967,5228.1,0
11436,54,1,2,4,1,1,2,3,2,65,3,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11437,56,2,2,3,1,1,2,4,3,99,6,999,0,3,1.4,94.465,-41.8,4.864,5228.1,0
11438,32,1,1,7,2,1,1,6,4,206,1,999,0,3,1.4,93.444,-36.1,4.964,5228.1,0
11439,48,1,2,6,2,1,2,3,2,92,2,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11440,31,10,1,7,1,1,1,9,3,193,3,999,0,3,-0.1,93.2,-42.0,4.12,5195.8,0
11441,33,8,2,4,2,1,1,3,2,737,3,999,0,3,-1.8,92.893,-46.2,1.291,5099.1,1
11442,54,11,3,4,1,2,1,8,1,54,1,999,0,3,-3.4,92.431,-26.9,0.739,5017.5,0
11443,35,10,2,6,1,1,1,2,3,225,2,999,0,3,-1.8,93.075,-47.1,1.415,5099.1,0
11444,31,1,1,7,2,1,1,7,5,112,7,999,0,3,-3.4,92.379,-29.8,0.803,5017.5,0
11445,45,2,3,3,2,1,2,3,3,193,1,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
11446,29,7,2,7,2,1,1,5,2,503,7,999,0,3,1.4,93.918,-42.7,4.961,5228.1,0
11447,27,2,1,3,2,1,2,3,5,115,4,999,0,3,1.1,93.994,-36.4,4.857,5191.0,0
